Clue,Answer
Host a knees-up getting cake in (9),ABUNDANCE
South American native in Lima with Buddhist monk (5),LLAMA
They’re billed a huge amount for pressing uniform roughly (7),TOUCANS
Birds with wings in Estonia's coastal location (7),SWANSEA
"Less mature, the solver's stifling snigger occasionally? (7)",YOUNGER
"Roaming mammoth chasing feline, not caught (2,5)",AT LARGE
Malty centres in confection for legendary queen (12),CLYTEMNESTRA
Frightening female given severe reprimand (7),FEARFUL
There's curiosity in an old tree inhabited by lemurs originally (7),ANOMALY
One economist's explanation insane when reviewed (9),KEYNESIAN
Deepest point in Mahanadi river (5),NADIR
Matthew maybe read up on church's central area (7),EVANGEL
Submachine-gun loaded by little honey (7),SWEETEN
"Language of Hamlet — old lines becoming quite a mouthful! (6,6)",DANISH PASTRY
"One responsible for flats and other properties? (5,7)",STAGE MANAGER
"Energy to limit velocity when rocketing in void (4,5)",DEEP SPACE
Student Union in posh university principally aligned with Left? Extraordinary! (7),UNUSUAL
Plan announced for man on board (7),DRAUGHT
Free ale left out little advertising! (7),LEAFLET
Fool without a care sent up expansionist kingdom (7),ASSYRIA
Romeo among undesirables in riotous struggle (5),SCRUM
"Quick! School bell’s ringing, but head’s absent (7)",SCHNELL
Bear with what speaker holds as representative (7),TOTEMIC
Abstract artist keeping one in shop (9),STATIONER
Sitcom’s beginning with Nora Batty giving offence (5),ARSON
"It may enable reception venue to accommodate a famous Swiss beauty (9,4)",SATELLITE DISH
Painter working only in certain colours (8),REYNOLDS
Vintage year following fine footballer (6),CRUYFF
"Odd bits of tissue and loo roll get cleaned out (2,4)",GO BUST
One suppressing inconvenient report on firing? (8),SILENCER
"Be impatient winner: rather gripping series of races against that fellow (5,2,3,3)",CHAMP AT THE BIT
Pound making comeback cheers nation (5),MALTA
Astonished group of rugby players led by a point (9),AWESTRUCK
Church put out over replacing Conservative member of flock? (7),CHEVIOT
"Buzz around there, regularly going back for honey (7)",SWEETEN
"In school, used to be provided with juice (7)",POWERED
Foreign orchestra given something to play by network (7),GAMELAN
"Crazy, dropping head to the back (3)",AFT
Lady not running freely sent in for surgery (11),VISCOUNTESS
Make a friend with ceremony (8),FORMALLY
California police try to return pampered pet (6),LAPDOG
Christmas returns in part of Spain (4),LEON
Party votes to change very high limit for author (10),DOSTOEVSKY
"Record how long left in permit (3,4,3)",ALL TIME LOW
Lightly hit cold cheek (4),CLIP
Run before notice to pick Emma up again? (6),REREAD
"Stung by these perhaps, destroy a nest beside tree (4,4)",FIRE ANTS
"Prudent course resulting from successful seance? (5,6)",HAPPY MEDIUM
One nailed to back of house (3),TOE
Cracking effort: girl hides processor (7),TANNERY
"Rolled pastry, extremely short, ruled revolting (7)",STRUDEL
"Jesting, pull a fairy’s wings off (7)",PLAYFUL
"One may be in the office, given this advice if beach too hot? (5-6)",WATER
Have great delight taking in a show (6),REVEAL
Failed to fence wood that’s prohibited (10),DISALLOWED
Continue as thug (4),GOON
Possibly tiger mother doing more tidying? (3-5),MAN
Position of railway not new (3),LIE
Bunch for one inhibited by lack of authority (7),NOSEGAY
Made fresh deal in juggling with dates (11),DESALINATED
"Unarmed, patrol population centres for serious crimes (10)",ATROCITIES
Lots of data as Times breaks US military scandal? (8),GIGABYTE
"Pretentiousness by extremely attractive miss (3,4)",AIR SHOT
"In old-fashioned uniform, line dance (3,4)",PAS SEUL
Cricketer’s entry in Anglo-French dictionary? (6),SEAMER
Raise up pretty velvet covers (4),LEVY
"God is hurt, abandoned by one (3)",PAN
Restricts little person that's a bit of a jumper? (11),CHAINSTITCH
A learner needing a supporter is hugged by maidens saying the wrong thing (11),MALAPROPISM
Establishing standard old room in local (9),NORMATIVE
No time for speech with men showing fatigue (7),LANGUOR
Rows of headless corpses (5),TIFFS
Soldier and reformer meeting a king (6),HUSSAR
Behavioural science Hoyle got wrong (8),ETHOLOGY
"Rage, having to eat a dry fish (3-4)",RAT-TAIL
"In Barbados, say, how you’d get the measure of the enemy? (8,8,4)",ATLANTIC STANDARD TIME
Steps to keep the Queen uncontaminated (7),STERILE
Pioneer crossword compiler entertains only third of solvers (7),SETTLER
Research specialist only half way through stories (7),EXPLORE
Light colour of old city church to the west (4),ECRU
Girl's best friend in a suit? (8),DIAMONDS
"Biblical tribe, possible adherents of a god of wealth, dismissing leader (9)",AMMONITES
Community travel entangled after reversing set of instructions (9),DECALOGUE
Papa dislikes aspects of birthday celebrations (8),PRESENTS
A guerrilla gets hurt (4),ACHE
Uses swearword when coming across cat (7),CUSTOMS
"Walked, bumping into Peg in the tube (7)",TETRODE
Onion in English allotment (7),SHALLOT
"Like good guys supporting the LA baseball team? (2,3,4,2,3,6)",ON THE SIDE OF THE ANGELS
"Something frightening, British, and not half unattractive to put up with (7)",BUGBEAR
"Car well able to convey limited number, offering independence (8)",AUTONOMY
Fashionable philosopher put to rest? (6),INHUME
Turmoil when duke meets a divine being in India (5),DRAMA
What get hot and black: ships carrying fuel (7),BOILERS
"Arguing about a boy, one no good (9)",REASONING
"What is evident in weighty section of song (6,5)",MIDDLE EIGHT
"Heeding Lent, possibly, being wise? (11)",ENLIGHTENED
"Pleasant area in the middle of a club? (5,4)",SWEET SPOT
Do this if latest of binges puts on weight? (4),FAST
Legendary winger caught by old right back (3),ROC
"Doing very little is disappointing (3,2,2,4)",NOT UP TO MUCH
Born and died in poverty (4),NEED
"Err with sheep, you say? Honestly! (8,2)",STRAIGHT UP
What I’ve done with posh Penny at uni is shrewd (5-2),CLUED-UP
A wish to cook up most of cheek and tongue (7),SWAHILI
National serial circulated around island (7),ISRAELI
A couple of fish and an unripe apple (7),CODLING
"Watch closely as backsliding southern club comes in last(4,4,2)",KEEP TABS ON
Two chaps having a laugh (2-2),HE-HE
Call for nice tea sets to be reordered (11),NECESSITATE
A pint is suitable for the circumstances (3),APT
Foreign agent protects Liberal in Split (4),FLED
Feel tyres must be changed for wet sort of race (9),FREESTYLE
"Youths do this in the Poultry Liberation Front? (6,8)",SPRING CHICKENS
Accounting department an old inspector reported (9),EXCHEQUER
Flipping insect bite (4),TANG
"A break from the wheel of vessel rolling by stormy spit (3,4)",PIT STOP
"If we’ve gone for tails, they should really go on heads (3,4)",TOP HATS
Ceremonial soldiers’ bulletproof socks? (10),FOOTGUARDS
"Closed down, broken by November 1st crash (5)",SHUNT
"A place for people to give hoods away in the mall? (8,6)",SHOPPING CENTRE
"With abandon, derides a TV broadcast (10)",ADVERTISED
I can go wrong without a YMCA travel guide (9),ITINERARY
"New cheese boards provided for those lacking time? (2,5)",IN BRIEF
Everyday duty imbued with a large and stately air (7),CHORALE
"Cap size for a well-rounded individual, we hear (5)",EXCEL
Dog’s dinner for setter and sheepdogs with no stuffing in it?(4),MESS
Blooper: it ruined low-quality novel (9),POTBOILER
Small operation that’s offered as a concession (3),SOP
Disturbance leading to cheers after receiving first of cream cheese (7),RICOTTA
Proactive pair opening company? (3-2),CAN-DO
Deduce number will escape fire (5),INFER
Inform if Tony is out of sorts (6),NOTIFY
Joke company’s merchandise? It’s easily ridiculed (8-5),LAUGHING-STOCK
Still disturbance to radio reception (6),STATIC
"Following ocean currents, it turned and boy turned (5)",TIDAL
Topic most of you and me will deliver (5),THEME
Rage about men at sea being left over (7),REMNANT
Chap’s curtailed expression of disapproval (3),HIS
"Plant to burgeon around ocean, on reflection (9)",SPEEDWELL
Page with press piece — something from the Large Hadron Collider? (8),PARTICLE
Movement perceived in previous answer? (3),TIC
Excessive sign of hesitation in river creature (5),OTTER
"As experienced by those with a bent for education? (8,5)",LEARNING CURVE
"Reads aloud about big towns, forgetting second one (7)",RECITES
Exotic frog I found in dunes? No great excitement here (9),SANGFROID
Power group scheme (4),PLOT
Flusters wildly about newspaper in vain (9),FRUITLESS
"Last leek cooked, with no meat on bones (8)",SKELETAL
Talkers losing head? They’re traditionally mad (7),HATTERS
"Fearful and dull, it turned up (5)",TIMID
"Pain when running, having to lose stone? That’s an irritation (4)",ITCH
Had a meal at end of game (3),ATE
Supply pot into schools,FURNISH
Rent for one American in Michigan state,MUSICAL
Bad practice to ignore the doctor,ILL
"Once, tourism involved covering the same area",COTERMINOUS
By no means how a tap-in is scored?,NOT BY A LONG SHOT
Heaps of ties? About six,LAVISHES
"Regrettably, sent back motorway food",SALAMI
Drawing device damages iPhone screens,SIPHON
"Pain like this maybe, Descartes’s son reveals",SORENESS
Perhaps like a 1970s filling for spring chicken? No!,LONG IN THE TOOTH
Craftsmen’s mothers working in pits,STONEMASONS
Title taken from orbits regularly rotating,SIR
Politician hiding at a Spanish address,SENATOR
Tomboys study Olympic cyclist’s circuits,HOYDENS
Sat seemingly unreachable and alone,FRIENDLESS
"Who, say, is lover involved with piano tuner?",RELATIVE PRONOUN
After the first minute becomes restless,ITCHY
Innkeeper’s spicy pork pie eaten by Edgar on vacation,HOTELIER
Church members losing heart are fools,MORONS
Trim fruits covered by mould,SHIPSHAPE
"It’s terrible, see, cola’s much too sweet",CHOCOLATE MOUSSE
Least likely to survive,LAST
Bishops shifted around before making homes for life,BIOSPHERES
"During short nap, smell most like foam rubber",SPONGIEST
Slight echo of backing band,POOH-POOH
Not just Macron’s a moderate,UNFAIR
Cross river close to Romsey,TESTY
"Pants, no good for snakes",ASPS
What artist does is attractive (5),DRAWS
Obliged to survey Englishmen on vacation (8),BEHOLDEN
"Queen's night attire simply the best? (3,4,7)",THE CATS PYJAMAS
"Genuine theft, real criminal (9)",HEARTFELT
"Contrary old soldier, mother's mate from abroad (5)",AMIGO
"Present playing cards for the individual (2,4)",ON HAND
"Be marked, cut by one German with sword (8)",SCIMITAR
"Artillery arriving by parachute, presumably causing a bit of a splash? (8)",RAINDROP
"Nurse, close to despair in scoundrel's grip, fled unclothed (6)",CRADLE
Pants son's wearing split more than once (5),GASPS
Person applying pressure on branch to supply cheese (9),LIMBURGER
"Penchant, eg. for arresting police inspectors (14)",PREDISPOSITION
Mineral is extracted from fluid epoxy resin (8),PYROXENE
"Springtime sound from insect, perhaps (5)",MAYBE
"Bottle after bottle? (5,7)",DUTCH COURAGE
Lakeland setting for youth leader (5),AKELA
"Small furry animal, extremely 7, spruced up (9)",SMARTENED
Vehicle that is top of range is less available (6),BUSIER
Rick and Henry always succeeded on course (8),HAYSTACK
Soft fabric supplier from America completely revolutionised (5),LLAMA
Eastern spies with yoked clothing wasted (9),EMACIATED
"Caterer found bananas for lengthy sporting event (4,2,6)",TOUR DE FRANCE
"Shock solution's risky, Superman from time to time admitted (4,5)",HAIR SPRAY
Mum going round university in Paris arranged a place for Joey (9),MARSUPIUM
Company porters attending church merge in (8),COALESCE
The author's facade's put on (6),IMPOSE
Loner's curious since travelling north (5),SADDO
"Harsh year, marked by pollution (5)",GRIMY
"Growing less dense, Republican judge comprehending a lawsuit (11)",RAREFACTION
Hum softly in jazzy style (3),BOP
Male follows musical genre deserving to embarrass (9),DISCOMFIT
Approximately finishing what's said to be tea chest (5),TORSO
"Asian rhino coming from arena, an escaping giant (7)",RINGGIT
Payment from right foreign friend for decorative art (7),ORIGAMI
Minute person on horse maybe a philosopher? (5),MUSER
"Accept play area is gone, unfortunately (9)",RECOGNISE
Fancy enamel tap handle's seen here (4-5),NAME-PLATE
"Kid goat, unevenly, is to take steps in a line (5)",CONGA
Kit sappers packed in dismay (7),APPAREL
Croatia's leader concerned with depravity in Split? (7),CREVICE
Pair with little time for cathedral (5),DUOMO
My account could be seen as contempt of court (9),CONTUMACY
Maybe Suffolk's female solver is picked up (3),EWE
Oxygen inhaled in repose helping recovery (11),RESTORATION
"In Berlin, the uprising seeking to destroy capital? (3)",RED
What repeat offender may do for secreted substance (5),RESIN
Fine fellow working with timber salesman (7),FLOGGER
"There's scoffing here, with Conservative Party breaking into song (9)",CAFETERIA
Keen on captivating start to Rameau prelude (5),INTRO
"No good fastening in old, flimsy zip (7)",NOTHING
Pub staff at home restraining a lout (9),BARBARIAN
"Favouring one in can, consumed mushroom (11)",PROLIFERATE
"Display of light courtship, cuddling and onset of love (5,6)",ROMAN CANDLE
Way of signalling English plan to invade beach (9),SEMAPHORE
"Sign when playing soccer badly, letting in goal (9)",CRESCENDO
Room is something you’d normally expect to get dark (7),PARLOUR
Poet’s break from roughly lifting a device (7),CAESURA
Spikes crack large and small walls (5),LACES
Taxmen once with a measure of intelligence upset Arab? (5),IRAQI
Desire conveyed in estuary English (3),YEN
A power described by simple physicist (6),AMPERE
Partnership for one out of loyalty (8),ALLIANCE
"All showers are relaxing here (6,4)",NUDIST CAMP
Drop anchor in low river (4),MOOR
"Those involved in a domestic row (8,6)",TERRACED HOUSES
School maiden has to discharge gas (8),SCHMOOZE
Country chap’s anecdotes (6),GUYANA
"A short tug, and snake gets rodent (6)",JERBOA
"Playing fragile old French organ (2,6)",LE FIGARO
"Is it overly sweet? (6-4,4)",UPSIDE-DOWN CAKE
Almost completely stop (4),QUIT
Sit back after cast angrily voice complaint (10),LARYNGITIS
A plea for help to tackle leading cause of cancer (8),ASBESTOS
Pass light over empty stage (6),ELAPSE
Hair growth over parting is bound to be longer (9),MOUSTACHE
Funny English farm animals (7),EPIGRAM
Highly courteous when one goes for a project (11),EXTRAPOLATE
"Bookshop may sell this in all the best branches?(1,8,2,4)",A FAREWELL TO ARMS
See power cut off (3),LOP
It supplies our occupying forces (7),ARMOURY
Split open part of head (5),CLOVE
"In which large sums of money are wasted? (4,7)",HIGH FINANCE
Places for young railway workers on train (9),NURSERIES
See red hair (7),BRISTLE
Old lady wants it — a cold dish (7),GRANITA
Is mother initially proud of us? (5),POURS
In elevator with missing female (3),LIT
"Run, avoiding large snake (5)",ADDER
"Pair, however, returned washing machine (4-3)",TWIN-TUB
Enrage church hemmed in by pubs close to centre (7),INCENSE
Usual practice of a bishop wearing belt (5),HABIT
A new suggestion regarding appetiser (9),ANTIPASTO
Drink brought back for close friend (3),PAL
"Idol shot, died (3)",GOD
Aims often set out in this (9),MANIFESTO
Gather popular judge retired (5),INFER
Eastern cause arousing intense feeling (7),EMOTIVE
Author Muriel has the French fizz (7),SPARKLE
A flower sprang up (5),AROSE
"Profits from excellent wins (7,5)",CAPITAL GAINS
"English coin of yesteryear, editor learned (8)",EDUCATED
Working below Irish golf club (4),IRON
Small lock of hair causing anxiety (6),STRESS
"Fair cancelled immediately (5,3)",RIGHT OFF
Objections over cigarette end (4),STUB
"Courage shown by batsman at the start, one removing cap? (6-6)",BOTTLE-OPENER
"Under pressure, European married, penniless, in Welsh town (8)",PEMBROKE
Greek god mysteriously poisoned (8),POSEIDON
Annoyed no litres required (6),NEEDED
Standard in decline (4),FLAG
Said to come from Aurora Leigh (4),ORAL
"Tale of woe from Fisher never-ending, I notice (8)",JEREMIAD
Islanders caught by embargo America maintains (6),CUBANS
"Penniless, proper not to start clinging (4-5)",SKIN-TIGHT
Foreign character shortly put name to parent (5),SIGMA
"Poem in French is popular, widening appeal (7)",SESTINA
Given message to stay away from edges with light (7),EMAILED
"Recent discovery of chap’s piano piece netting two grand (5,8)",HIGGS PARTICLE
"Chair here obstacle an ignorant lad’s damaged (5,8)",GRAND NATIONAL
Opening of tale genuine and touching (7),TACTUAL
"Weary and greasy, I assume ship has to leave (7)",FATIGUE
Timid person I click with? (5),MOUSE
"Moving unsteadily, part of body initially being secured in strap (9)",STUMBLING
"Shoddy stuff, breaking eggs to make revolution (6)",ROTATE
Traveller ate wrongly — did it again (8),REPEATED
"Takes part in tournament, with lowest score placed last? Exactly (4,2)",JUST SO
Transport losing time in monsoon (5),RAINS
Getting entangled in church service good for son (7),MATTING
"Corrupt characters from USA, East Bengal, that Labour cleaned out (6,7)",AUGEAN STABLES
Parvenu’s new business the wrong way round (7),UPSTART
Article on musical cat pronounced heavenly (9),ANGELICAL
Overarching panel plans red revolt (8),SPANDREL
"A companion to Don Giovanni, I felt, caught me out (3,5,5)",THE MAGIC FLUTE
Chief nobleman and a number of his staff? (9),HEADCOUNT
"Grains turned up for breakfast, for a limited period (3,5)",EGG TIMER
"Most determined to make uniform, then relax (7)",DOUREST
Striking reason to eat off one’s knees? (7),NOTABLE
"Magistrate’s about to arrest a ruler of the waves (3,3)",SEA GOD
Sound investment may be shown in court (5),GUILT
Indian thus developing the Delhi dialect (10),HINDUSTANI - A
Revolutionary method of payment for strikebreaker (4),SCAB - BACS
To study a hindrance in article that’s hackneyed (10),THREADBARE
"Boss — a big shot, by the sound of it (4)",KNOB - S
Church leader sheltering old feline favourite by large volcano (12),POPOCATEPETL - POPE
Source of fragrance for French in short spin on river (9),POTPOURRI - PO
English head retiring in German city (5),ESSEN - E
"Abroad, one may purchase pulpy food, 60% rejected (5)",RUPEE - PUREE
"Fighter that’s irregular somehow, changing sides ultimately (9)",GUERRILLA - A
"Without direction, spicing and heating a brownish yellow soup (12)",MULLIGATAWNY - MULLI
"A, B, C, D, F or G, by implication? (4)",NOTE - NOT
One in my group before stays fitter (10),CORSETIERE - COR
Obnoxious type given a drink across the pond (4),SODA - SOD
Pelt sailors with firm condiment (10),PEPPERCORN - PEPPER
Strongly dislike appearing in Macbeth at Edinburgh (4),HATE - H
Lack of engineers where sailors mutinied once (4),NORE - NO
"Girl lyrical about record, making no excuses (12)",UNAPOLOGETIC - UNA
Rings club about prohibition (5),TABOO - OO
A bishop immersed in local history? (9),NARRATIVE
Study poetry extremely lovingly? On the other hand … (10),CONVERSELY - CON
Old citizen sinking half of capital in infant boy (10),BABYLONIAN
Rare trip gone wrong for person on odyssey (12),PEREGRINATOR - A
Rooms male painters maybe secured in suitable quarter (10),APARTMENTS
"Spurred on, quietly replacing medium — it’s demanded (10)",STIPULATED - STI
Rambling discourse that’s shaken up a grim function (9),RIGMAROLE - A
Fabulous writer of a work about French art? (5),AESOP - A
"US politician, not about to desert protest (4)",DEMO - DEMO
Cut wages originally accepted by egg supplier (4),HEWN
"Senior officer in underwear lounged around hotel (5,3)",BRASS HAT
No end of reason to keep policeman a university place (6),CAMPUS
"Electoral system that may provide veto? (11,4)",ALTERNATIVE VOTE
Endless scoff dunked in sweet tea (10),DARJEELING
Be nervous of loud organ (4),FEAR
Contributed nothing new in old-fashioned surroundings (7),DONATED
Tinker holds a leisurely course (7),MEANDER
Predecessor to Romans manages to close scripture lesson (7),FRIENDS
Chap in jumper opposing member of dynasty (7),ROMANOV
Fit to be seen on road? (4),RAGE
Evaluation of panic rooms needing revision (10),COMPARISON
"Throw a match, and fail to keep it secret (4,3,4,4)",GIVE THE GAME AWAY
"Holding hearts (king or queen), go down in contract (6)",SHRINK
"Shorten study, stupid (8)",CONDENSE
"Marked as criminal, but not with own label (7)",BRANDED
"Lovely piece of work, are you? (3)",ART
"Cage, metal, in dry lake (10)",SERPENTINE
Be suffering? Take on the Bible for help (5),AVAIL
One delivering big service / tree (4),ACER
Profits secure in good transactions (11),PROCEEDINGS
One cutting small member of audience? (7),SHEARER
Glow-worm for instance chews persimmon — not quietly (8),MISNOMER
"Exceeding limit and knocking someone down (7,4)",RUNNING OVER
Shark’s ear bone had to receive echo (10),HAMMERHEAD
Find divorces shattering (8),DISCOVER
Seeks food a long time (7),FORAGES
Collar’s front finally black in colour (7),VANDYKE
Drama not unknown to philosopher (5),PLATO
Crazy to turn up and cause sensation (4),STUN
"Pale and sickly, not using whole allowance (3)",WAN
Things people are going to say? (8),GOODBYES
London statue painful to put back (4),EROS
"Persevering, even if difficult terrain (13)",THOROUGHGOING
"Edged forward, with hooter? (5)",NOSED
A little European larva (7),TADPOLE
"Profit from one number by country-and-western singer (4,2)",CASH IN
Compete to block drunkard in Russian council (6),SOVIET
"Popular, Castro, but no Christian (7)",INFIDEL
Fit in curve round lake (5),BLEND
"Person consulted appearing uninterested in listening (8,5)",SOUNDING BOARD
Crazy food for squirrel (4),NUTS
Drink beginning to befuddle Dame Edna (8),BEVERAGE
"Board work harmoniously (3,2)",GET ON
Players sit: boos break out (7),OBOISTS
"No puritan, keen on American women? (5-6)",BROAD-MINDED
Crews have no head for heights (6),EIGHTS
One impaled on terrible horn — its? (5),RHINO
"Section of, say, people in street (7)",SEGMENT
"I obliged Ben to arrange feature of hotel room (6,5)",GIDEON BIBLE
"Edges into study, bright red (7)",CRIMSON
President to refuse to allow a Japanese art form (7),IKEBANA
With power thrust forward and fall precipitously (6),PLUNGE
Quickly grabbing uniform for opera (5),FAUST
Avoid Santa Fe Trail city (5),DODGE
Quiet husband holding European record is shamefaced (8),SHEEPISH
Dull poet making a comeback (4),DRAB
"Result of over-imbibing, ultimately, in royal house? (8)",HANGOVER
Mark left by injury in steep rocky outcrop (4),SCAR
"Scottish criminal taking in Welshman — and fellow Scot, perhaps? (10)",CALEDONIAN
Parentless child frequently so pronounced by some (6),ORPHAN
Capital at that time invested in a Society (6),ATHENS
"At a standstill, having nothing to debate? (10)",MOTIONLESS
"Group of soldiers in Verdun, I think (4)",UNIT
Woman in drivers’ association newly into flying (8),AVIATION
Boundary giving us the upper hand? (4),EDGE
Unhappy new teacher finally made an impression (8),WRETCHED
"Quietly leaves store, touring old part of London (4)",SOHO
Reportedly bring in large bird of prey (4),ERNE
"One promoting suitable ankle protector, it’s said (10)",PROPAGATOR
Long pin seamstress found round back of shack (6),SKEWER
"Person illegally handling / radio, say? (8)",RECEIVER
Save individual on ship — a noblewoman (8),BARONESS
"Surprisingly cast net, not being a competitor (10)",CONTESTANT
Little creature’s sleeping-place on river (8),DORMOUSE
"Old PM disrupts Carol, showing fury! (8)",SPITTING
Bird from public relations embracing sweetheart (6),PLOVER
Women’s group’s hot desire (4),WISH
"“Eat up, girl!” (4)",ENID
Plant — horse eats one in Scotland (6),PAEONY
"Experienced person in Newgate? (7, two words)",OLD BIRD
Rested outside university compound in Glasgow? (4),SAUT
Seaweed from liquid realm (5),MAERL
Instrument given new steel covering (9),TELESCOPE
Drizzle in southern commune overlooking river (5),SMIRR
"No longer occupy island, unconditional leader having been deposed (6)",MANURE
"Trading ends sadly, making one very troubled (11)",ANGSTRIDDEN
Each prominent feature penned by journalists showing tendency to moralise (11),PREACHINESS
After hostilities extravagant speaker is one offering guarantees (9),WARRANTER
Strip of material that is kept in room (4),RIEM
Strip machine almost to the bottom (4),LATH
"Ewe possibly as one of a minority flock (7, two words)",WEEFREE
Snake Greek character found in valley to the north (6),ELAPID
Curse man who deals in rupees? (6),BANIAN
Rod applied to kiddie’s bottom brings hatred (5),SPITE
Item of archaeological interest curator finally housed in building (5),SHERD
"Mother has no yen for masquerade, keeping quiet (4)",MUMM
Disturbing a French kid he produces a nose rag (12),HANDKERCHIEF
Secure area of the sea (5),SOUND
Buccaneer’s reportedly indelicate manner (7),CORSAIR
Stories appearing in American anthologies (3),ANA
Beg to get church involved in ballet movement (9),ENTRECHAT
High-ranking Asian woman say taken in by tramp (5),BEGUM
Hard man with practical skills (5),HANDY
Stupid British artist getting out more? (9),BRAINLESS
Churchyard tree the solver talked of (3),YEW
"Austere knight leaves climb in Cairngorms, primarily (7)",ASCETIC
Single chap from east embracing old woman (5),NAOMI
Seedy soldiers kept in subject to argument (12),DISREPUTABLE
Book house overlooking ocean (5),HOSEA
"Rule again, suffering spasmodic pain (9)",NEURALGIA
"Person teasing cleric, one leaving Worcs town (13)",KIDDERMINSTER
Deliver poem perhaps about spectacle mentioned in speech (6),RECITE
"Her sons cut the damaged tree (5,8)",HORSE CHESTNUT
One reigning over a long period (3),ERA
As well-placed models presumably are when sitting? (6),PRETTY
"Fellow doctor supports beloved, a source of sweetness (9)",HONEYCOMB
Sort of lynx bishop caught in seagoing vessel (6),BOBCAT
Military policeman in preferred capacity (6),REDCAP
"Grumble when husband gets in hock, perhaps (5)",WHINE
Endlessly stylish Greek character (3),CHI
"The wine that could be poisoned in a P D James mystery  (3,5,5)",THE BLACK TOWER
A timely prize-winning title?  (9),LONGITUDE
Point outside of India that has some pyramids  (5),NUBIA
"One who came, to kill in cold blood?  (6)",ICEMAN
British novelist’s intrusion that’s about to …  (8),SILLITOE
… capture one in spirit  (4),GAIN
"Rocky lairs I have, as a mythical mother  (4,6)",RHEA SILVIA
"The last character in Pickwick Papers?  (3,7)",THE COBBLER
Where you’ll see Lee at first in depressed part of Gloucestershire  (4),SLAD
Very short bit of verse about a poet  (8),VERLAINE
Actor and playwright’s plot with a monarch  (6),PLANER
"Ponderosa’s one tree in part, not bay  (5)",RANCH
Poem I’d heard on champagne — very old and very dry  (9),MUMMIFIED
"I can’t locate North America when it’s stormy  (8,5)",ATLANTIC OCEAN
"Barnes’s love triangle kit? — without the French involved  (7,2,4)",TALKING IT OVER
"British writer of plays, who specialised in comedy  (5,4)",ERNIE WISE
I call a revolutionary “secular”  (6),LAICAL
Culture regularly provides a bit of information  (4),CLUE
"Cronin’s top title, one he’d contrived  (3,7)",THE CITADEL
"Achieve something with humour, holding a particular view  (6,2)",WANGLE IT
Sailor trapped by traitor in an Atlantic port  (5),RABAT
"Kentish gentleman and revolutionary a northern leader nixed  (9,4)",ALEXANDER IDEN
"Caine’s key position in British film-making?  (3,7)",THE BONDMAN
Speed worked for this gentleman  (9),VALENTINE
An Irish sea island once had Charlie and a prince as men living in cells  (8),MONACHAL
"Online confusion — a source of trouble in South America?  (2,4)",EL NINO
Rhymester engaged in Japanese poetry? Just the reverse  (5),RENGA
A demon and I — we fight  (4),IMPI
Suitably clad doctor saying nothing (6),DUMBLY
Bureaux and top-rank clubs invested in bottled spirits? (8),AGENCIES
"Sailor included in total recovering from attack? (3,3,5)",OUT AND ABOUT
"Feminine counterpart of stag party, bride's last (3)",DOE
Glimpse errand boy's narrow escape? (7),SEEPAGE
Female with band having an edge (7),FRINGED
"Economic system I represent, perhaps? (4,10)",FREE ENTERPRISE
"What's cooking? Silly rhetorical question unruly tots ignored (6,8)",QUICHE LORRAINE
Circlet with tiny casing that delights me (7),WHOOPEE
Person with little boats oddly banned by port (4-3),HAVE-NOT
"Letter from the Balkans, far from neutral (3)",PHI
"Top tennis sites where there's likely to be action (5,6)",CROWN COURTS
"Privacy I lost, due to reform (8)",SOLITUDE
"Following shot, retreat's ordered (6)",BIDDEN
"Delivers sweets no longer on the menu (5,3)",DROPS OFF
What martial arts trainer needs for beginners? (3),MAT
Descent made by majority at end of rope (7),LINEAGE
Ultimate sale bargain apparently worthless (4-3-7),GOOD-FOR-NOTHING
Increasingly unbalanced cask carried up bank (7),NUTTIER
Is dieting on crackers its cause? (11),INDIGESTION
Customary small drink drained daily (6),STEADY
"Preserve support after biblical queen briefly deposed king (5,3,6)",JAMES THE SECOND
Legal appointee’s administrator leading seminar: not the first time (11),EXECUTORIAL
"Mole, tailed, sits atop ditch (8)",JETTISON
"Highly imitative journalism, spiteful type (7)",COPYCAT
Extra violin part you might have at La Scala? (7),RAVIOLI
Makes off with socks (6),SWIPES
Imperial measure that most anglers use (3),ROD
Claimant to throne pleased at first about offer (9),PRETENDER
Fish medic informally rejected (3),COD
Dynamic leader of Indian state (2-5),GO-AHEAD
Fruit couples mentioned in conversation (5),PEARS
"Funny wee bride with Ivy’s commanding vision? (5-3,4)",BIRDS-EYE VIEW
Ray’s broad smile (4),BEAM
"Advantage duke found in, say, opening of estate (4)",EDGE
Loco enthusiast gives instruction to ceramic worker (5-7),TRAIN-SPOTTER
Greek for ‘Room at the Top’? (5),ATTIC
Unrestrained harangue involving a politician (7),RAMPANT
Seaman army commander finally identifies (3),TAR
Bad reputation of Rio not yet dispelled (9),NOTORIETY
Electronically summon errand boy (4),PAGE
Cagey girl the writer’s taken round Scotland’s capital (7),EVASIVE
Former partner on English river (3),EXE
"Move unsteadily, initially disturbing stranger (6)",DODDER
Act on behalf of stern peer for a change (9),REPRESENT
"South American omnivore — one with fur, perhaps? (5)",COATI
Refuse to acknowledge row about farm animal (6),DISOWN
Monk using the same small container? (9),DOMINICAN
Fantastic range of French missile (7),GRENADE
It supports the setting up of arts channel (6),STRAIT
